city,study_cell,control_cell,study_log_aadt,control_log_aadt,study_index,control_index
phoenix,c020_027,c025_027,9.043150687849252,10.353020038759267,4.305963926625379,1.2400466262579655
phoenix,c033_022,c034_022,9.680115842852723,9.53828036174509,2.3787167692644027,1.3182469446007083
phoenix,c022_030,c016_033,9.980945006224271,9.489064822644991,2.3466847074015433,1.0662499220782136
phoenix,c031_021,c027_023,9.285769574751319,9.529962727292027,2.2677102571577232,1.1564894704443076
phoenix,c017_028,c019_035,9.79629921386853,10.086012154759793,2.1145682803090127,1.6711536447311546
phoenix,c019_030,c019_034,9.93887887378041,9.903207885097967,2.3292721296785146,1.2552154361787624
phoenix,c027_024,c021_029,10.005862213666335,9.103406519463382,2.685454668363498,1.6659132294374142
phoenix,c016_028,c017_029,9.519729840170575,9.390915148945943,2.357948039801399,2.089632025197117
phoenix,c015_034,c013_034,9.78821139437342,10.181361572365189,2.362862531796465,0.9485862103682459
phoenix,c029_029,c020_032,10.167833815317891,9.564895943839753,3.024895492354989,1.6706194639445948
phoenix,c019_029,c026_021,9.47451909491775,9.68428420751384,2.186280771604486,0.45756605024311414
phoenix,c019_026,c026_028,9.218110991600229,9.380215170225119,3.753873243195116,0.19418990222552457
phoenix,c023_027,c017_037,9.85776634536035,9.309795711975088,2.123025060510855,0.3582980775944182
phoenix,c021_027,c034_023,8.70534058775264,9.578228252426069,3.1917538389570304,0.6838658995604806
phoenix,c031_015,c030_029,9.301145708638687,9.784215940572388,2.1767744215263054,0.8267720811485295
phoenix,c028_029,c025_023,9.739045279764659,10.408640871501467,2.5405057080751856,0.5054301919473977
phoenix,c033_023,c025_036,9.356841542162831,8.957034340329741,2.33292688420759,0.9999101420104667
phoenix,c013_042,c030_015,10.164469623561322,9.980367566434259,2.2735518717931003,0.9903380426500024
phoenix,c019_023,c030_019,10.07700193175894,9.997290556015916,2.357638468605189,-0.05805399243742289
phoenix,c020_026,c025_040,9.738326610975522,10.232444828499474,2.201874453927602,0.7080545742379301
phoenix,c028_025,c010_042,9.905806553861913,9.551724692263631,2.1335621631446204,2.099124186896484
phoenix,c032_034,c035_024,10.056466400861279,8.650170654463091,2.1403231759796846,0.9402898212899634
phoenix,c015_043,c019_025,10.117348150251422,9.723300701307668,2.1293406572565483,0.05340513364695504
phoenix,c009_040,c021_025,9.648291686766555,9.67757128526046,2.804753055150165,0.09032531339468187
phoenix,c010_035,c041_023,9.535219467889162,8.856542956930422,3.1302353330607335,0.7142702182178174
phoenix,c024_017,c026_030,10.014263820688695,9.251999677867765,2.36219639530948,-0.15212964471742516
phoenix,c038_015,c027_040,9.930858715594685,9.955662712512932,2.6168551843206367,1.0342970879264017
phoenix,c039_012,c004_043,9.84878938934863,10.177440409095746,2.6230134140845505,0.36576578459700654
phoenix,c039_017,c018_022,9.450674509532401,10.58202858070671,2.918994577343152,-0.3879102183707513
