check,spec,beta,se,p,city,rho,direct,indirect,total,n
nach,NACH alone,-0.005084232527957472,0.005003773313473289,0.3095914311457596,,,,,,
nach,P1 alone,-0.12552563214174542,0.009726316965003678,4.1760747590627383e-38,,,,,,
nach,NACH | P1,-0.0009186302015824424,0.005000891324318155,0.854254069802015,,,,,,
nach,P1 | NACH,-0.1254102297704983,0.009746582873423634,6.894481922460543e-38,,,,,,
durbin_full,,,,,boston,-0.0768409284762459,-0.06306392322391297,0.0045000986549955935,-0.05856382456891737,
durbin_full,,,,,charlotte,0.14254540915132807,0.008395309276709284,0.0013956573427591195,0.009790966619468404,
durbin_full,,,,,denver,0.11511171421148703,-0.23302105859107058,-0.030312813416770945,-0.26333387200784153,
durbin_full,,,,,phoenix,0.15374119754490856,-0.20561261615051762,-0.03735397463000062,-0.24296659078051824,
durbin_full,,,,,portland,0.14823946418120926,-0.23262854018185486,-0.04048641454920798,-0.27311495473106284,
durbin_full,,,,,wasatch_front,0.037153112247334974,-0.16821766392198434,-0.006490969466874774,-0.1747086333888591,
severance,corridor FE,-0.0537995473463772,0.012317355011781373,1.2551347524661803e-05,,,,,,25397.0
severance,corridor FE + severance,-0.05213490014769988,0.012208882062275635,1.9525960517067234e-05,,,,,,25397.0
