metric,n,beta_cond,p_cond,p1_beta
intersection density,37609,0.016014817716427078,0.00644278895704765,-0.12665144244496176
link–node ratio,36282,0.01014723015493435,0.01880700878121488,-0.1270336675164749
street density,37609,0.027780080156059372,1.549442358106921e-05,-0.12864402169618025
dead-end share,36285,-0.0018664649145568536,0.6631660688946879,-0.12558283262562028
circuity,36257,0.005234821115163639,0.22066629552932016,-0.12503894880112323
