spec,note,n,pct_treated,beta,se,p,pct_aadt,n_cities_sig,beta_p1,p_p1
full,all four restrictions,37609.0,10.423037039006621,-0.12451252177651594,0.00969029117058554,8.690054592987869e-38,-11.70727945199782,5.0,,
minus_local,route may use major roads,37609.0,18.3041293307453,-0.09714071181580894,0.007859105757695245,4.286853769215168e-35,-9.257168873599952,5.0,,
minus_cap,no detour cap,37609.0,23.914488553271823,-0.0505057033966673,0.0071326295834938614,1.4318260246759382e-12,-4.925149383899797,4.0,,
minus_span,no minimum-span requirement,37609.0,11.651466404318116,-0.1251209730956004,0.009303910047043902,3.1539850347990365e-41,-11.760984934038243,5.0,,
minus_segment,cell-level areal aggregate,37609.0,,-0.03463071397904594,0.006467673818721806,8.582600572063808e-08,-3.403793331149596,,,
minus_segment_conditional,cell aggregate | segment P1,,,-0.018202848611524904,,0.0058387060958231245,,,-0.11887486854045494,3.3854989050832165e-33
