model,n,cells,beta,se,p,lo,hi,pct
boston,22089,1647,-0.05095665375539203,0.012689127909248258,5.925133546666488e-05,-0.07582734445751863,-0.026085963053265444,-4.968013756312373
charlotte,1672,542,-0.019544818724392028,0.057785311025015794,0.7351886575254758,-0.13280402833342297,0.09371439088463893,-1.9355057051692603
denver,2803,613,-0.24933276662307977,0.02866401357169985,3.3641926881218795e-18,-0.3055142332236115,-0.19315130002254807,-22.067940165239243
phoenix,3770,954,-0.1761022804862056,0.02854111319604156,6.823535429262186e-10,-0.23204286235044708,-0.12016169862196414,-16.146778653163572
portland,3224,566,-0.2033311148767733,0.02807376260586666,4.3969187038705e-13,-0.25835568958427196,-0.14830654016927464,-18.399199570147694
wasatch_front,2321,638,-0.15381407777622208,0.04196918811890138,0.0002474075967963862,-0.2360736864892688,-0.07155446906317538,-14.256857825040282
pooled + city FE,35879,4960,-0.12326989681100158,0.00973880511853388,1.0155719279231115e-36,-0.14235795484332797,-0.10418183877867518,-11.59749651779075
