spec,beta,se,p
MixedLM,-0.24933276662307977,0.02866401357169985,3.3641926881218795e-18
OLS,-0.24409928928676275,0.02898039512267092,5.791280437628995e-17
Spatial error,-0.2367098961074099,0.030710974541558942,1.2878587085651816e-14
OLS route-clustered,-0.24409928928676275,0.03723760964653822,5.557424760014067e-11
