check,metric,n,beta_uncond,p_uncond,beta_cond,p_cond,p1_beta,p1_p
cell_p3,cell intersection density,18052,0.02520848851954404,0.00467545156269518,0.032899084288657336,0.00021495261188626979,-0.14230127898339442,2.93121284855775e-29
cell_p3,cell link–node ratio,18033,0.00717341017130776,0.30977923844158184,0.01247351309194365,0.07657958947510222,-0.14032183416115712,1.5243552608986117e-28
cell_p3,cell % four-way,17989,-0.014160991048136019,0.057226907434861696,-0.007940974527399227,0.2854407947467049,-0.13814624267587355,1.0984754797556768e-27
cell_p3,cell median block size,18679,-0.02001586622440493,0.00015822054047714244,-0.021350548085226757,5.240223022986447e-05,-0.13757536988773886,1.9239516343526232e-27
nach_full,NACH on the arterial itself,17971,0.10287335040075644,1.2707007434327166e-98,0.10193301423426783,1.8604405101392876e-97,-0.13650168687386657,7.128891207538271e-28
nach_full,"NACH, catchment mean (full net)",18148,0.06327013284148286,2.4018164536469503e-21,0.0662116260506638,2.1864692442982396e-23,-0.14339956918523278,6.182282651119625e-30
