check,city,beta_primary,se_primary,p_primary,beta_nolanes,se_nolanes,p_nolanes,beta_neither,se_neither,p_neither,pct_primary,pct_nolanes,pct_neither,corr_p1_len,corr_len_aadt,median_len_m,beta_base,beta_lenctrl,beta_lenFE,metric,n,beta_alone,p_alone,beta_given_p1,se_given_p1,p_given_p1,ci_lo,ci_hi,pct_lo,pct_hi,predictor,beta_raw,beta_per_sd,pct_per_sd,form,r2_full,unique_config,unique_controls,ratio,group,n_p1_0,n_p1_1,term,beta,se,p,n_routes,spec,pct,n_used,n_total
lanes_bracket,boston,-0.05095665375539203,0.012689127909248258,5.925133546666488e-05,-0.05266979175152935,0.012975236264070066,4.9229545097309025e-05,-0.285742831311354,0.018550118650635754,1.5426131749520597e-53,-4.968013756312373,-5.1306772904717075,-24.854415798655992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lanes_bracket,charlotte,-0.019544818724392028,0.057785311025015794,0.7351886575254758,-0.036612054661408246,0.060219955239814826,0.5432059561923674,-0.09183272440474954,0.06603713728520748,0.16433995063541973,-1.9355057051692603,-3.5949938459553965,-8.774226476151291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lanes_bracket,denver,-0.24933276662307977,0.02866401357169985,3.3641926881218795e-18,-0.2774423469963763,0.030097237691714608,3.0213010552020997e-20,-0.5246619274647348,0.047912351452766296,6.611651542163703e-28,-22.067940165239243,-24.228075186572273,-40.82446132022637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lanes_bracket,phoenix,-0.1761022804862056,0.02854111319604156,6.823535429262186e-10,-0.2028439017541791,0.030858027814233618,4.916045916398149e-11,-0.5799516795895637,0.040274503480341436,5.176528209287841e-47,-16.146778653163572,-18.359432902729612,-44.007457826206966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lanes_bracket,portland,-0.2033311148767733,0.02807376260586666,4.3969187038705e-13,-0.22616500716335874,0.028978063749627997,5.964467069972862e-15,-0.411642626550622,0.04095912978867024,9.179070165628545e-24,-18.399199570147694,-20.241351667615824,-33.74389845370679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lanes_bracket,wasatch_front,-0.15381407777622208,0.04196918811890138,0.0002474075967963862,-0.14786593329200268,0.04341108254339599,0.0006587888397039124,-0.21669568930211364,0.06025724946069479,0.0003229290471002103,-14.256857825040282,-13.745325400653584,-19.482504462023854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lanes_bracket,POOLED,-0.12326989681100158,0.00973880511853388,1.0155719279231115e-36,-0.13223917971068655,0.01003589457234385,1.1962994852158029e-39,-0.34948197996391134,0.013975971651040538,5.271507570687354e-138,-11.59749651779075,-12.386858284190016,-29.494677316561358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
length,boston,,,,,,,,,,,,,0.20732121414446242,-0.26589943968526275,109.29069065580856,-0.05095665375539203,-0.017955051493958235,-0.01630714912360739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
length,charlotte,,,,,,,,,,,,,0.021224359761237824,-0.012671158811853612,585.3911600242034,-0.019544818724392028,-0.02098698737066615,-0.023234195152293847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
length,denver,,,,,,,,,,,,,0.09205915753871499,-0.12630617280599024,675.6053853114862,-0.24933276662307977,-0.25199898095242845,-0.2576520093925568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
length,phoenix,,,,,,,,,,,,,0.09786798946708912,-0.0715987313416896,803.9726175127023,-0.1761022804862056,-0.17416686605360823,-0.1631314425999401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
length,portland,,,,,,,,,,,,,0.08319913776746894,0.023291901974226863,593.0664285103564,-0.2033311148767733,-0.21363354286236838,-0.20270751315969263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
