city,pct_sample_panel,n_all,beta_all,p_all,n_panel,beta_panel,p_panel
boston,2.81343343828207,23121,-0.03798191789669769,7.607884579009569e-05,595,-0.12976590279773495,0.1289098885607751
charlotte,4.92468134414832,1693,-0.04687451253502475,0.15145516028926662,82,,
denver,6.815114709851552,2938,-0.2571360556920981,3.1123209963699095e-20,197,-0.7980643307006333,3.064431666956057e-05
phoenix,14.564831261101244,3767,-0.10257552661448925,0.0017684178836219527,568,-0.1561316530779215,0.07348544381295387
portland,8.366877515813687,3370,-0.16392088050543827,1.220208230202825e-08,288,-0.39520777861096196,0.0030195241009335332
wasatch_front,22.596964586846543,2355,-0.1411790253372576,0.0012328772526335912,530,-0.3438937123833604,0.004010296823493879
