city,n_matched,n_model,spearman_2018_2024,median_aadt_ratio,beta_2018,beta_2024,p_2024,pct_2018,pct_2024
boston,24364,22893,0.8034660421092394,0.8904970358127198,-0.05098013497701281,-0.03793545464072051,8.454628086568538e-05,-4.970245197243839,-3.722491845072362
charlotte,1698,1678,0.9458968473340584,0.9890237556561086,-0.03192754148835931,-0.04707227603475383,0.14990296706609663,-3.142323883284537,-4.598155757160239
denver,2938,2918,0.9690925121936695,0.92,-0.24988043957568606,-0.2645095592603302,4.996720098085067e-21,-22.110609760993338,-23.24176886866366
phoenix,3773,3748,0.8383389819877891,1.060998102866779,-0.10143475705168542,-0.10310919387014188,0.001665596532829284,-9.645987295895242,-9.797152787610731
portland,3369,3347,0.9526033446072769,0.9967567567567568,-0.17801506286591604,-0.16249983577722346,1.5734021000184826e-08,-16.307018316778997,-14.99837701825879
wasatch_front,2342,2333,0.9822205446183349,1.0314147719161264,-0.14919768984536455,-0.14336234085573868,0.0009973243480133607,-13.860119173163653,-13.35599346239622
