city,n,prev,b_sens,p_sens,b_primary
boston,19045,7.087564089675278,-0.04719821812918516,7.04263495402607e-05,-0.049551473491148405
charlotte,1159,12.180579216354344,0.008611270364055934,0.8977368216759791,-0.017788140633563407
denver,1814,27.838427947598255,-0.13342455322728203,8.693494556222569e-08,-0.24694688573604476
phoenix,2981,10.989010989010989,-0.14037241352567975,8.299818031182671e-08,-0.17793470052636864
portland,1839,26.392644672796106,-0.216088466058206,1.8935775543038824e-14,-0.21804403694581223
wasatch_front,1406,22.1045197740113,-0.27050181146050967,1.7235887813789655e-12,-0.15000948118749993
