city,n_elig,cells_elig,beta_elig,se_elig,p_elig,pct_elig,n_full,cells_full,beta_full,se_full,p_full,pct_full
boston,21352,1411,-0.05287924332391863,0.01286284232072911,3.939361281204623e-05,-5.150545738473255,22089.0,1647.0,-0.05095665375539203,0.012689127909248258,5.925133546666488e-05,-4.968013756312373
charlotte,1551,452,-0.023617703708799474,0.060358695342988565,0.6955835042729709,-2.3340988484706005,1672.0,542.0,-0.019544818724392028,0.057785311025015794,0.7351886575254758,-1.9355057051692603
denver,2756,580,-0.24544062265498126,0.02884328314499101,1.747526582325565e-17,-21.764026314060903,2803.0,613.0,-0.24933276662307977,0.02866401357169985,3.3641926881218795e-18,-22.067940165239243
phoenix,3693,904,-0.1571790182367094,0.028480848688825056,3.4139668181111294e-08,-14.544893510107348,3770.0,954.0,-0.1761022804862056,0.02854111319604156,6.823535429262186e-10,-16.146778653163572
portland,3106,492,-0.19806263651340894,0.028108856067230528,1.8377527563322626e-12,-17.968153036021693,3224.0,566.0,-0.2033311148767733,0.02807376260586666,4.3969187038705e-13,-18.399199570147694
wasatch_front,2268,597,-0.13438688888237993,0.04216123664482631,0.0014353262276791034,-12.574823912210597,2321.0,638.0,-0.15381407777622208,0.04196918811890138,0.0002474075967963862,-14.256857825040282
pooled + city FE,34726,4436,-0.12027304747145505,0.00983735763509707,2.253589839909149e-34,-11.332170160633703,,,,,,
