spec,note,n,pct_treated,beta,se,p,pct_aadt,n_cities_sig,beta_cell,p_cell
full,all four restrictions,18684.0,16.265253692999355,-0.13625577892473084,0.012676469402163396,6.009180090972355e-27,-12.738059371178212,5.0,,
minus_local,route may use major roads,18684.0,30.91415114536502,-0.06972818527812721,0.01062656621607137,5.3202941661493944e-11,-6.735270727995757,4.0,,
minus_cap,no detour cap,18684.0,27.360308285163775,-0.09655232941475686,0.010973062857786979,1.3800153575499894e-18,-9.203761678357425,4.0,,
minus_span,no minimum-span requirement,18684.0,17.44808392207236,-0.1398838407990747,0.012375490825104916,1.2638314281563994e-29,-13.054077477791736,5.0,,
minus_segment_matched,"cell rate, matched prevalence",18684.0,16.896810104902592,-0.10667518973397828,0.01905123550380847,2.1511439762409708e-08,-10.118242924369392,,,
both_together,,,,-0.12638632756678184,,2.306369141853055e-21,,,-0.0482480164659177,0.015843633817800015
