city,n_full,n_ind,retain,b_full,b_ind,se_ind,p_ind,lo,hi,mde,b_ind_rand
boston,23251,1015,0.04365403638553181,-0.06263083023495236,-0.3446024699229403,0.20647596020075515,0.09512305028067668,-0.7492953519164204,0.06009041207053978,0.5781326885621144,-0.1494456470906811
charlotte,1704,239,0.1402582159624413,0.006146633887258612,-0.013421827465101677,0.2030403200706229,0.9472948296474588,-0.41138085480352254,0.3845371998733192,0.568512896197744,0.28073414148828757
denver,2942,312,0.10605030591434399,-0.23963205542147487,-0.2919886903678588,0.13749112362696786,0.033695973088534184,-0.5614712926767158,-0.022506088059001783,0.38497514615551,-0.13051202338576984
phoenix,3917,486,0.12407454684707685,-0.2228835985826521,-0.35431781389338113,0.14266020384566644,0.01300440681595121,-0.6339318134308873,-0.07470381435587492,0.399448570767866,-0.4711659794479268
portland,3459,297,0.08586296617519515,-0.24726699108140357,-0.08291950894586009,0.13414832056304504,0.536497472620631,-0.3458502172494284,0.1800111993577082,0.3756152975765261,0.027345539905138327
wasatch_front,2358,290,0.12298558100084818,-0.1720049010449396,-0.6186929949447645,0.2132517388861305,0.0037169731610642966,-1.0366664031615802,-0.2007195867279487,0.5971048688811653,-0.5044730950717717
