city,group,n,median_aadt,median_dist_cbd_km,median_local_int_density,pct_f3
boston,one-way (excluded),2021,14554.0,7.596829437999736,24.867959858108645,56.50667986145472
boston,two-way (analysed),44165,13988.0,29.717645383899747,11.439261534729976,46.64100532095551
charlotte,one-way (excluded),57,9600.0,0.8972114092676053,7.4603879574325935,45.614035087719294
charlotte,two-way (analysed),5384,21500.0,14.761665655171862,13.92605752054084,50.167161961367015
denver,one-way (excluded),655,20000.0,1.7404009658821464,11.439261534729976,56.94656488549619
denver,two-way (analysed),9490,21000.0,14.6680649175552,20.889086280811263,57.83983140147524
phoenix,one-way (excluded),137,7526.0,1.6952338559348676,22.38116387229778,1.4598540145985401
phoenix,two-way (analysed),10938,22793.0,21.69521682772036,21.386445477973435,34.009873834339
portland,one-way (excluded),567,13634.0,2.813375423117342,25.365319055270817,52.38095238095239
portland,two-way (analysed),7478,14000.0,15.044079006304282,20.391727083649087,47.87376303824552
wasatch_front,one-way (excluded),98,11226.0,48.6029845062479,10.941902337567804,67.3469387755102
wasatch_front,two-way (analysed),10334,15236.0,31.731828841280585,19.894367886486915,50.69672924327463
