radius_m,n,beta,se,p,pct_per_sd
400,2755,-0.25973399448177287,0.02905296071779503,3.891066571222934e-19,-22.87432829379584
800,2803,-0.24933276662307977,0.02866401357169985,3.3641926881218795e-18,-22.067940165239243
1200,2810,-0.2465893715582311,0.02865806380020598,7.662540287625198e-18,-21.853848201752225
1600,2813,-0.24400084227656998,0.028649814800431765,1.6421524747333183e-17,-21.651302565013676
