check,metric,n,total,p_total,direct,p_direct,indirect,pct_mediated,city,beta,se,p,stratum,pct_p1,rho,t,p_wcb
mediation,intersection density,37609.0,0.009860343220788964,0.09327468243748249,0.016014817716427078,0.00644278895704765,-0.006154474495638114,-62.4164327531965,,,,,,,,,
mediation,link–node ratio,36282.0,0.005885178736355802,0.1729218801117849,0.01014723015493435,0.01880700878121488,-0.004262051418578548,-72.4200845804333,,,,,,,,,
mediation,street density,37609.0,0.01948413220082169,0.002388794684538396,0.027780080156059372,1.549442358106921e-05,-0.008295947955237682,-42.57796995899989,,,,,,,,,
mediation,dead-end share,36285.0,0.0017125041534944137,0.6895786229327082,-0.0018664649145568536,0.6631660688946879,0.0035789690680512673,208.9903875998361,,,,,,,,,
mediation,circuity,36257.0,0.0074936356827802215,0.08008225352802854,0.005234821115163639,0.22066629552932016,0.0022588145676165827,30.14310627359639,,,,,,,,,
p3_uncond_city,,,,,,,,,boston,0.03634380857690363,0.00817852179427411,8.837907513222848e-06,,,,,
p3_uncond_city,,,,,,,,,charlotte,0.021506632306283396,0.022947214948322022,0.3486444288638305,,,,,
p3_uncond_city,,,,,,,,,denver,-0.022003444171221992,0.016371123333095938,0.1789354610268601,,,,,
p3_uncond_city,,,,,,,,,phoenix,-0.03522325017794492,0.014043311743202183,0.012135246988936739,,,,,
p3_uncond_city,,,,,,,,,portland,0.0075684714327437785,0.019764475777858694,0.7017693888093761,,,,,
p3_uncond_city,,,,,,,,,wasatch_front,-0.012398306773749514,0.022196406446476497,0.5764533729416436,,,,,
length_stratum,,18448.0,,,,,,,,-0.002088743454457164,0.02004361007728253,0.9170027439281236,<200 m,2.954249783174328,,,
length_stratum,,5582.0,,,,,,,,-0.10898758953494075,0.021399792195832504,3.525766041134734e-07,200–400,19.97491938373343,,,
length_stratum,,5050.0,,,,,,,,-0.10563767571532642,0.02419592450069488,1.26583900450098e-05,400–800,21.485148514851485,,,
length_stratum,,5265.0,,,,,,,,-0.23679209120345188,0.025461783287589357,1.4057509577318715e-20,800–1600,16.847103513770183,,,
length_stratum,,3264.0,,,,,,,,-0.19610019804792883,0.04236487600508605,3.677211855617821e-06,≥1600 m,8.823529411764707,,,
durbin,,,-0.2977270636676009,,-0.25463465334751767,,-0.04309241032008321,,boston,,,,,,0.14473796835679664,,
durbin,,,-0.023547605701181237,,-0.018161378999453248,,-0.005386226701727989,,charlotte,,,,,,0.2287377651078044,,
durbin,,,-0.3904759973428276,,-0.3252818655293854,,-0.06519413181344219,,denver,,,,,,0.16696066405383547,,
durbin,,,-0.3446403517104997,,-0.3158895573274414,,-0.02875079438305833,,phoenix,,,,,,0.08342260051779782,,
durbin,,,-0.4132667431015035,,-0.3092585974790758,,-0.10400814562242772,,portland,,,,,,0.25167315628124953,,
durbin,,,-0.1954209247898615,,-0.19690200676458325,,0.001481081974721743,,wasatch_front,,,,,,-0.00757893238052354,,
wild_bootstrap,,,,,,,,,,-0.18131407502636643,,,,,,-17.07709268954144,0.065
